,NPD_LTR_nps,clean_cabin_nps,app_nps,stress_level_nps,deplaning_nps,clean_airport_nps,cabin_nps,seat_comfort_nps,boarding_nps,checkin_nps,value_nps,ontime_arrival_nps,ife_nps,fa_interaction_nps,res_care_nps,airport_emp_nps,wifi_nps,food_bev_nps,clean_lav_nps,srvfail_recovery_nps,bag_speed_nps,n_srvy,max_chkd_bags,avg_chkd_bags,std_chkd_bags,mode_chkd_bags,pct_ckin_ksk,pct_ckin_onln,pct_ckin_mobl,pct_rbkd,pct_cntn,num_cls_upgrd,pct_cabin_basic,pct_cabin_main,pct_cabin_cmfrt,pct_cabin_first,pct_loyalty_base,pct_loyalty_slvr,pct_loyalty_gld,pct_loyalty_pltnm,pct_loyalty_dmnd,pct_type_corp,pct_type_bsns,pct_type_leis,pct_type_hvl,pct_amex_srvy,min_adv_pur_days,max_adv_pur_days,avg_adv_pur_days,std_adv_pur_days,max_stay_days,avg_stay_days,std_stay_days,pct_round_trip,num_intntnl,min_gross_rev,max_gross_rev,avg_gross_rev,std_gross_rev,n_flights,min_dstnc,max_dstnc,avg_dstnc,std_dstnc,min_otps,max_otps,avg_otps,std_otps,pct_dprt_ontime,pct_arr_ontime,min_pax,max_pax,avg_pax,std_pax,pct_ac_eqpd_bfr_flght,min_load_factor,max_load_factor,avg_load_factor,std_load_factor,pct_ac_type_321,pct_ac_type_739,pct_ac_type_320,pct_ac_type_738,pct_ac_type_717,pct_ac_type_75D,pct_ac_type_319,pct_ac_type_75Y,pct_ac_type_32W,pct_ac_type_221,pct_ac_type_764,pct_ac_type_76Z,pct_ac_type_75H,pct_ac_type_75S,pct_ac_type_333,pct_ac_type_75G,pct_ac_type_332,pct_ac_type_223,pct_dprt_ap_atl,pct_dprt_ap_dtw,pct_dprt_ap_msp,pct_dprt_ap_jfk,pct_dprt_ap_slc,pct_dprt_ap_lax,pct_dprt_ap_mco,pct_dprt_ap_lga,pct_dprt_ap_sea,pct_dprt_ap_rsw,pct_arr_ap_atl,pct_arr_ap_msp,pct_arr_ap_slc,pct_arr_ap_dtw,pct_arr_ap_lax,pct_arr_ap_mco,pct_arr_ap_sea,pct_arr_ap_jfk,pct_arr_ap_las,pct_arr_ap_tpa
2021-03-01,0.7333333333333333,0.4893617021276595,0.396551724137931,0.2206405693950178,0.4718309859154929,0.4805653710247349,0.38028169014084495,0.028169014084507005,0.5,0.5387323943661971,0.1684587813620071,0.6126760563380281,0.0677083333333333,0.4539007092198581,0.29,0.5053003533568905,-0.1492537313432835,-0.4553571428571428,0.3065693430656934,-0.76,0.3333333333333333,285.0,5.0,0.7894736842105263,0.7676753390865567,1.0,0.0175438596491228,0.312280701754386,0.4245614035087719,0.0,0.34385964912280703,4.0,0.2210526315789473,0.4385964912280701,0.2140350877192982,0.1263157894736842,0.8175438596491228,0.1017543859649122,0.0385964912280701,0.031578947368421,0.0105263157894736,0.0982456140350877,0.1578947368421052,0.7438596491228069,0.0947368421052631,0.3824561403508772,1.0,262.0,25.30175438596491,32.36913246208358,153.0,10.504854368932039,16.63019515683138,0.7228070175438597,4.0,26.05,2403.99,221.67324894514772,232.50810938835826,205.0,133.0,4491.0,1007.2780487804878,662.8247748189724,-15.0,224.0,-0.8585365853658536,20.939794364892844,0.8780487804878049,0.8390243902439024,23.0,192.0,92.66341463414629,34.86119363441893,0.3804878048780488,20.909090909,80.672268908,59.77985648332197,11.946822418258867,0.1463414634146341,0.0878048780487804,0.0439024390243902,0.0536585365853658,0.3219512195121951,0.0048780487804878,0.0292682926829268,0.0292682926829268,0.0097560975609756,0.1121951219512195,0.0975609756097561,0.0146341463414634,0.0097560975609756,0.0048780487804878,0.0048780487804878,0.0,0.0,0.0292682926829268,0.1317073170731707,0.0829268292682926,0.0341463414634146,0.0341463414634146,0.0780487804878048,0.024390243902439,0.0341463414634146,0.0292682926829268,0.0048780487804878,0.0195121951219512,0.3609756097560975,0.0390243902439024,0.0926829268292682,0.0829268292682926,0.0390243902439024,0.0292682926829268,0.0,0.0195121951219512,0.0048780487804878,0.0146341463414634
2021-03-02,0.7415406767458603,0.5065123010130246,0.4539982803095442,0.1812907904278462,0.4956521739130435,0.4848265895953757,0.4284682080924855,0.1312184571016582,0.5509761388286334,0.558759913482336,0.2051282051282051,0.6856524873828407,0.1519699812382739,0.4527075812274368,0.3175965665236051,0.5323166303558461,-0.0805152979066022,-0.4610051993067591,0.2374301675977653,-0.7241379310344828,0.8,1389.0,6.0,0.7616990640748741,0.7789200340591952,1.0,0.0309575233981281,0.271418286537077,0.441324694024478,0.0,0.3628509719222462,10.0,0.2325413966882649,0.3686105111591072,0.2123830093592512,0.1857451403887689,0.7681785457163427,0.0979121670266378,0.0611951043916486,0.0518358531317494,0.0208783297336213,0.0496760259179265,0.1115910727141828,0.8387329013678906,0.1519078473722102,0.421886249100072,1.0,316.0,24.056875449964004,29.882798282116,150.0,8.850956696878146,11.644080837037055,0.714902807775378,8.0,4.65,1032.0,179.17924083769634,141.2174340741872,785.0,119.0,4491.0,1092.1592356687897,615.0467991729447,-23.0,157.0,-2.3974522292993634,13.438825630125256,0.8993630573248408,0.8878980891719745,21.0,214.0,88.37197452229297,35.0176592374296,0.3337579617834394,11.055276382,76.068376068,49.32198508822299,14.173674305996313,0.22165605095541396,0.1936305732484076,0.0980891719745223,0.0764331210191082,0.0777070063694267,0.0471337579617834,0.0535031847133758,0.0331210191082802,0.0242038216560509,0.0305732484076433,0.0242038216560509,0.0267515923566879,0.0203821656050955,0.0165605095541401,0.0178343949044585,0.0127388535031847,0.0076433121019108,0.0089171974522292,0.12993630573248402,0.0777070063694267,0.0904458598726114,0.0394904458598726,0.0445859872611464,0.043312101910827995,0.0394904458598726,0.0242038216560509,0.0254777070063694,0.0229299363057324,0.3159235668789809,0.0700636942675159,0.0777070063694267,0.0764331210191082,0.0305732484076433,0.0292993630573248,0.0229299363057324,0.0242038216560509,0.021656050955413998,0.0229299363057324
2021-03-03,0.7213414634146341,0.4969325153374233,0.4337606837606838,0.2234499693063229,0.4944987775061125,0.5039706780696396,0.4089242053789731,0.0995115995115995,0.5259938837920489,0.5268620268620269,0.1715170278637771,0.6485661989017694,0.1840062111801242,0.4648318042813456,0.375,0.5273509526736324,-0.0532178217821782,-0.4627395315826828,0.2617370892018779,-0.7943262411347518,0.625,1640.0,4.0,0.7329268292682927,0.7163317302653412,1.0,0.0347560975609756,0.2542682926829268,0.4457317073170732,0.0,0.3597560975609756,14.0,0.2640243902439024,0.3786585365853658,0.1969512195121951,0.1585365853658536,0.7987804878048781,0.0847560975609756,0.0463414634146341,0.05,0.0201219512195121,0.0548780487804878,0.1042682926829268,0.8408536585365853,0.1292682926829268,0.37439024390243897,1.0,322.0,23.98048780487805,26.975226195824533,277.0,7.857605177993528,12.646003625710346,0.7536585365853659,20.0,22.33,1679.99,183.64234089246528,161.0631383788451,872.0,119.0,4491.0,1060.3784403669724,609.5377623361436,-21.0,212.0,-2.0091743119266057,14.950815904744825,0.8899082568807339,0.9128440366972476,17.0,223.0,93.7901376146789,32.596594864592,0.3795871559633027,10.625,76.109215017,52.94674216726487,13.215964826289728,0.2224770642201834,0.1915137614678899,0.0986238532110091,0.0791284403669724,0.0860091743119266,0.0481651376146789,0.0516055045871559,0.0252293577981651,0.0332568807339449,0.0321100917431192,0.0263761467889908,0.021788990825688002,0.0160550458715596,0.0126146788990825,0.0229357798165137,0.0114678899082568,0.0057339449541284,0.0080275229357798,0.1708715596330275,0.0802752293577981,0.0768348623853211,0.040137614678899,0.0493119266055045,0.0286697247706422,0.0344036697247706,0.0286697247706422,0.021788990825688002,0.0194954128440367,0.3027522935779816,0.0676605504587156,0.0756880733944954,0.0711009174311926,0.0298165137614678,0.0355504587155963,0.0240825688073394,0.0275229357798165,0.021788990825688002,0.0252293577981651
2021-03-04,0.7444271643338517,0.5283411336453459,0.4821867321867322,0.2176409185803758,0.5270833333333333,0.5059802392095684,0.4360041623309053,0.1169438669438669,0.5460218408736349,0.5617219917012448,0.20966894377299,0.6935064935064935,0.2057105775470473,0.5075481520041645,0.3518225039619651,0.5738045738045738,-0.0768398268398268,-0.4261398176291793,0.309989701338826,-0.6918918918918919,0.6,1929.0,5.0,0.6464489372731985,0.6843228833849064,0.0,0.0331778123379989,0.2332814930015552,0.4779678589942975,0.0,0.3317781233799896,14.0,0.2555728356661482,0.3945049248315189,0.1954380508035251,0.1544841886988076,0.7921202695697253,0.0938310005184033,0.0482115085536547,0.0476931052358735,0.0181441161223431,0.0414722654224987,0.0870917573872472,0.871435977190254,0.1249351995852773,0.39709694142042495,1.0,316.0,24.048211508553656,24.509911158229176,129.0,5.7514638906961615,7.02771018331953,0.7967858994297563,16.0,15.04,1264.19,182.94089440993787,145.26625125594057,1041.0,119.0,4491.0,1074.030739673391,625.7054534194018,-18.0,288.0,-1.5869356388088376,16.27428310853708,0.8760806916426513,0.9000960614793467,10.0,221.0,96.13832853025936,32.812903194469946,0.3592699327569644,7.575757575800001,77.35042735,54.801604280514155,13.463912197635336,0.2046109510086455,0.1873198847262248,0.0845341018251681,0.1056676272814601,0.0749279538904899,0.0384245917387127,0.0701248799231508,0.0259365994236311,0.0326609029779058,0.0365033621517771,0.0278578290105667,0.0220941402497598,0.0182516810758885,0.0163304514889529,0.0201729106628242,0.010566762728146,0.0096061479346781,0.0096061479346781,0.1585014409221902,0.0826128722382324,0.0749279538904899,0.0393852065321806,0.0595581171950048,0.0413064361191162,0.0278578290105667,0.0259365994236311,0.0288184438040345,0.021133525456292,0.2949087415946205,0.0682036503362151,0.0874159462055715,0.0537944284341978,0.0268972142170989,0.0384245917387127,0.0259365994236311,0.0259365994236311,0.0240153698366954,0.0268972142170989
2021-03-05,0.7391084093211753,0.5188008130081301,0.5002967359050445,0.2363450740173558,0.5145185939887926,0.4941653982749873,0.4382308083375699,0.1694571283612379,0.5459624174707973,0.5564598168870803,0.2183316168898043,0.6641260162601627,0.2176470588235294,0.5152129817444219,0.3746268656716418,0.5510411376333164,-0.0652849740932642,-0.3814064362336114,0.2754491017964072,-0.7526881720430108,0.5,1974.0,5.0,0.6241134751773051,0.6943009620769535,0.0,0.0263424518743667,0.2396149949341438,0.4599797365754812,0.0005065856129685,0.3166160081053698,16.0,0.2659574468085106,0.3936170212765957,0.1919959473150962,0.1474164133738602,0.7892603850050659,0.0851063829787234,0.0521783181357649,0.0542046605876393,0.0192502532928064,0.0420466058763931,0.0891590678824721,0.8687943262411347,0.1210739614994934,0.3728470111448835,1.0,308.0,22.94326241134752,25.02045433276093,275.0,5.691318327974278,8.918905087061566,0.7877406281661601,18.0,4.0,1730.12,184.0843613138686,153.51346625539543,1120.0,119.0,4491.0,1053.025892857143,622.4681811185303,-21.0,227.0,-0.8821428571428571,17.26227381548373,0.86875,0.85,19.0,222.0,96.87410714285713,31.37466019180377,0.375,10.555555556,84.545454545,56.07771590119732,12.772100362789626,0.2053571428571428,0.1883928571428571,0.0589285714285714,0.09375,0.1017857142857142,0.0473214285714285,0.0705357142857142,0.0321428571428571,0.0348214285714285,0.0419642857142857,0.025,0.0142857142857142,0.0205357142857142,0.0160714285714285,0.0151785714285714,0.0125,0.00625,0.0098214285714285,0.1723214285714285,0.0758928571428571,0.0767857142857142,0.0330357142857142,0.0571428571428571,0.0366071428571428,0.0366071428571428,0.0214285714285714,0.0294642857142857,0.0214285714285714,0.2982142857142857,0.0678571428571428,0.075,0.0625,0.0410714285714285,0.0294642857142857,0.0303571428571428,0.0223214285714285,0.0205357142857142,0.0178571428571428
2021-03-06,0.7406230133502861,0.5111964171465131,0.4736842105263157,0.2325878594249201,0.5031887755102041,0.4653087205601527,0.4301212507977026,0.1375796178343949,0.5768985322271857,0.5292620865139949,0.1976668826960466,0.6711281070745698,0.2364810330912025,0.5035098915124442,0.3696498054474708,0.5580357142857143,0.0191458026509572,-0.4268567141785446,0.24331210191082805,-0.6853146853146853,0.5,1573.0,5.0,0.7603305785123967,0.7627810991052056,1.0,0.0343293070565797,0.2549268912905276,0.4272091544818817,0.0,0.3216783216783216,18.0,0.2549268912905276,0.3979656706929434,0.1691036236490782,0.1773680864589955,0.8169103623649078,0.0750158931977113,0.0425937698664971,0.0483153210425937,0.0171646535282898,0.0305149396058486,0.0572155117609663,0.912269548633185,0.1602034329307056,0.3750794659885569,1.0,318.0,26.7972027972028,33.490934435630464,143.0,8.289198606271777,10.396665771554042,0.729815638906548,26.0,22.33,3891.08,196.9359090909091,194.95913737618716,866.0,119.0,4491.0,1112.45727482679,642.0503725031309,-20.0,174.0,-1.2967667436489607,14.97916591467248,0.871824480369515,0.8648960739030023,11.0,222.0,98.88337182448036,35.509979392826025,0.3741339491916859,5.527638191,77.725118483,55.71499266247381,13.196671811784775,0.2147806004618937,0.1859122401847575,0.0900692840646651,0.0750577367205542,0.0854503464203233,0.0484988452655889,0.0658198614318706,0.0277136258660508,0.0288683602771362,0.0392609699769053,0.0277136258660508,0.0196304849884526,0.0173210161662817,0.0196304849884526,0.0196304849884526,0.0115473441108545,0.0080831408775981,0.0034642032332563,0.1466512702078521,0.0658198614318706,0.0877598152424942,0.0300230946882217,0.0484988452655889,0.033487297921478,0.0277136258660508,0.0311778290993071,0.0288683602771362,0.0265588914549653,0.3048498845265588,0.0762124711316397,0.0762124711316397,0.0669745958429561,0.0323325635103926,0.0346420323325635,0.0288683602771362,0.0242494226327944,0.0265588914549653,0.023094688221709
2021-03-07,0.7015895953757225,0.479739507959479,0.4369602763385147,0.2042151162790697,0.494553376906318,0.4678235719450471,0.3856729377713458,0.1012292118582791,0.5050798258345428,0.5285610990600145,0.1479289940828402,0.6541244573082489,0.2085222121486854,0.4811594202898551,0.3708609271523179,0.5177664974619289,-0.0497667185069984,-0.4478371501272264,0.2626404494382022,-0.7948717948717948,0.4,1384.0,4.0,0.7521676300578035,0.7432479858089968,1.0,0.0382947976878612,0.2196531791907514,0.4739884393063583,0.0007225433526011,0.3359826589595375,18.0,0.236271676300578,0.4104046242774566,0.1734104046242774,0.1777456647398844,0.7673410404624278,0.0953757225433526,0.0570809248554913,0.0541907514450867,0.0260115606936416,0.0498554913294797,0.1322254335260115,0.8179190751445087,0.1380057803468208,0.3822254335260115,1.0,314.0,21.892341040462426,25.583811748502445,156.0,6.877755511022045,8.174322284248706,0.7210982658959537,17.0,22.14,9522.4,213.6473120138289,320.02346319520086,831.0,119.0,3963.0,1077.9711191335741,608.8879032161524,-18.0,278.0,0.8086642599277978,26.862985184690967,0.8580024067388689,0.8447653429602888,20.0,221.0,101.66425992779786,32.72708116514803,0.4079422382671479,12.041884817,76.890756303,57.97137754598795,11.694539728244429,0.2021660649819494,0.197352587244284,0.0818291215403128,0.0962695547533092,0.0842358604091456,0.0445246690734055,0.075812274368231,0.0240673886883273,0.0348977135980746,0.0361010830324909,0.0252707581227436,0.0192539109506618,0.0180505415162454,0.0120336943441636,0.0180505415162454,0.0096269554753309,0.0048134777376654,0.0060168471720818,0.151624548736462,0.0661853188929001,0.098676293622142,0.0336943441636582,0.0565583634175691,0.0312876052948255,0.02647412755716,0.0276774969915764,0.02647412755716,0.0240673886883273,0.3068592057761732,0.0649819494584837,0.0782190132370637,0.0565583634175691,0.0385078219013237,0.03971119133574,0.0385078219013237,0.0192539109506618,0.0192539109506618,0.02647412755716
2021-03-08,0.7448591012947449,0.5172149961744453,0.4804270462633452,0.2546153846153846,0.503062787136294,0.5038226299694191,0.4239877769289534,0.1442748091603053,0.5569136745607334,0.5931297709923664,0.2317829457364341,0.6577743902439024,0.1970731707317073,0.4984732824427481,0.44874715261959003,0.558868501529052,-0.0354391371340523,-0.4478976234003656,0.2958748221906117,-0.7807017543859649,0.8333333333333334,1313.0,5.0,0.6854531607006854,0.7044567160324676,1.0,0.0357958872810358,0.2391469916222391,0.4889565879664889,0.0,0.3655750190403656,8.0,0.23000761614623005,0.3731911652703732,0.20106626047220105,0.1957349581111957,0.7501904036557502,0.0868240670220868,0.0693069306930693,0.0525514089870525,0.0411271896420411,0.0799695354150799,0.1744097486671744,0.7456207159177456,0.1386138613861386,0.3975628332063975,1.0,318.0,19.983244478293983,24.28749350982368,157.0,6.578400830737277,8.80906443108563,0.7334348819497334,12.0,22.33,4568.0,202.79791964285718,223.54751200962863,860.0,119.0,2988.0,1076.6023255813955,612.4015076024829,-22.0,198.0,-0.1267441860465116,20.52526722706429,0.8558139534883721,0.8488372093023255,13.0,219.0,93.4593023255814,34.209917881638454,0.3790697674418604,9.424083769600001,87.81512605,53.19602682405075,13.61656014182673,0.1883720930232558,0.21395348837209305,0.0953488372093023,0.0860465116279069,0.0872093023255814,0.0441860465116279,0.0651162790697674,0.0232558139534883,0.0302325581395348,0.0325581395348837,0.0174418604651162,0.0267441860465116,0.0197674418604651,0.0186046511627906,0.0197674418604651,0.0093023255813953,0.0069767441860465,0.0081395348837209,0.1337209302325581,0.0674418604651162,0.0802325581395348,0.0290697674418604,0.0430232558139534,0.0313953488372093,0.0348837209302325,0.027906976744186004,0.0290697674418604,0.0220930232558139,0.3209302325581395,0.077906976744186,0.0709302325581395,0.0697674418604651,0.0302325581395348,0.0337209302325581,0.0313953488372093,0.0337209302325581,0.0209302325581395,0.027906976744186004
2021-03-09,0.7897398843930635,0.5590379008746356,0.4961173425366695,0.2942461762563729,0.5500725689404935,0.5285610990600145,0.4545454545454545,0.1646120377084844,0.6121562952243126,0.6316931982633864,0.2548005908419498,0.7135605511240029,0.2179132040627885,0.5242929659173314,0.3939393939393939,0.6055112400290066,-0.0596330275229357,-0.4385521885521885,0.2861150070126227,-0.6826923076923077,0.4285714285714285,1384.0,6.0,0.7109826589595376,0.7227293530107997,1.0,0.028179190751445,0.2442196531791907,0.4566473988439306,0.0,0.3562138728323699,9.0,0.2478323699421965,0.3872832369942196,0.1835260115606936,0.1813583815028902,0.8049132947976878,0.0751445086705202,0.0469653179190751,0.0447976878612716,0.028179190751445,0.0541907514450867,0.1271676300578034,0.8186416184971098,0.1293352601156069,0.3901734104046243,1.0,331.0,24.724710982658962,30.953094863403354,120.0,7.947162426614481,9.994079872042898,0.7384393063583815,13.0,22.33,2057.01,182.18908771929824,172.5132783393245,787.0,119.0,4491.0,1075.8500635324017,616.0604567705236,-20.0,145.0,-3.7090216010165182,10.185703568434104,0.9199491740787802,0.9390088945362136,9.0,217.0,85.82592121982209,33.48743927686963,0.4040660736975858,6.8181818182,76.068376068,48.502053989796934,13.931521419077725,0.2160101651842439,0.1893265565438373,0.0940279542566709,0.0825921219822109,0.0864040660736975,0.0495552731893265,0.0660736975857687,0.0330368487928843,0.0241423125794155,0.025412960609911002,0.0216010165184243,0.0190597204574332,0.0203303684879288,0.0190597204574332,0.0190597204574332,0.0063532401524777,0.0088945362134688,0.013977128335450999,0.1537484116899618,0.0775095298602287,0.0724269377382465,0.0343074968233799,0.0520965692503176,0.0343074968233799,0.0355781448538754,0.0216010165184243,0.0228716645489199,0.025412960609911002,0.30114358322744605,0.0698856416772554,0.0825921219822109,0.0698856416772554,0.0292249047013977,0.0317662007623888,0.0343074968233799,0.0266836086404066,0.0203303684879288,0.0241423125794155
2021-03-10,0.7284980744544287,0.5016118633139911,0.4216054013503376,0.223156532988357,0.502262443438914,0.4961439588688946,0.4157014157014157,0.1266066838046272,0.5550547327752736,0.5759330759330761,0.2110091743119266,0.6486486486486487,0.1923076923076923,0.4932301740812379,0.3454198473282442,0.5748387096774193,-0.047361299052774,-0.4269319051262433,0.2304785894206549,-0.7166666666666667,0.7142857142857143,1558.0,5.0,0.7169448010269577,0.7105827514527061,1.0,0.0263157894736842,0.2560975609756097,0.4518613607188703,0.0006418485237483,0.3549422336328626,5.0,0.2580231065468549,0.3754813863928113,0.2041078305519897,0.16238767650834401,0.7836970474967908,0.0847240051347881,0.0545571245186136,0.0545571245186136,0.0224646983311938,0.0526315789473684,0.0930680359435173,0.8543003851091142,0.1245186136071887,0.3940949935815148,1.0,322.0,26.28883183568678,29.86467041990624,143.0,7.462248322147652,9.866969943422188,0.7650834403080873,25.0,16.28,2517.0,191.67527950310557,190.861732162218,884.0,119.0,4491.0,1083.0701357466064,628.5738082739372,-16.0,267.0,-2.438914027149321,14.653556858461087,0.8902714932126696,0.8902714932126696,11.0,222.0,94.48076923076924,33.41639341547778,0.4185520361990949,6.5476190476,77.31092437,53.10462233269181,12.615351812894671,0.2341628959276018,0.17307692307692302,0.08710407239819,0.08823529411764698,0.0825791855203619,0.0429864253393665,0.0701357466063348,0.0350678733031674,0.0248868778280542,0.0248868778280542,0.0294117647058823,0.0180995475113122,0.0248868778280542,0.0203619909502262,0.0192307692307692,0.004524886877828,0.0113122171945701,0.005656108597285,0.1493212669683258,0.08710407239819,0.0780542986425339,0.0373303167420814,0.0509049773755656,0.0294117647058823,0.0316742081447963,0.0260180995475113,0.0328054298642533,0.0214932126696832,0.3099547511312217,0.0678733031674208,0.0701357466063348,0.0656108597285067,0.0395927601809954,0.0395927601809954,0.0294117647058823,0.0248868778280542,0.0226244343891402,0.0248868778280542
2021-03-11,0.7177033492822966,0.5038498556304138,0.4312184166198765,0.2152878567972907,0.4725168756027001,0.4848920863309353,0.4131477927063339,0.1375838926174496,0.5266955266955267,0.5408261287223823,0.1712895377128953,0.6302884615384615,0.1622780159216166,0.4848920863309353,0.2846270928462709,0.5329802599903707,-0.0951913640824337,-0.42156303479749,0.2686145146088595,-0.7724867724867724,0.8571428571428571,2090.0,5.0,0.6789473684210526,0.7074701198082542,1.0,0.0200956937799043,0.2502392344497607,0.4779904306220096,0.0,0.3301435406698564,17.0,0.2488038277511961,0.3913875598086124,0.2043062200956937,0.1555023923444976,0.7947368421052632,0.085645933014354,0.0492822966507177,0.0516746411483253,0.0186602870813397,0.0368421052631578,0.084688995215311,0.8784688995215311,0.1296650717703349,0.3784688995215311,1.0,316.0,25.091387559808606,26.767974057163467,252.0,6.440526001195457,10.052325195118812,0.8004784688995216,24.0,22.33,4226.76,195.6098892773893,213.3502360548318,1107.0,119.0,4491.0,1061.3956639566395,622.143640562962,-21.0,249.0,-2.2222222222222223,13.89164127841189,0.8897922312556459,0.8355916892502259,14.0,222.0,98.8934056007227,32.935377323483344,0.4372177055103884,7.7777777778,76.890756303,56.52438749582779,12.524764172549624,0.2086720867208672,0.1915085817524842,0.08039747064137301,0.1038843721770551,0.08039747064137301,0.037940379403794,0.06865401987353201,0.030713640469738,0.03613369467028,0.037940379403794,0.023486901535682003,0.016260162601626,0.018970189701897,0.01806684733514,0.015356820234869,0.008130081300813,0.00903342366757,0.009936766034327,0.1752484191508581,0.077687443541102,0.077687443541102,0.030713640469738,0.055103884372177,0.034327009936766004,0.029810298102981,0.024390243902439,0.024390243902439,0.01806684733514,0.2863595302619693,0.06052393857271901,0.083107497741644,0.061427280939476,0.037940379403794,0.03613369467028,0.034327009936766004,0.024390243902439,0.025293586269196,0.025293586269196
2021-03-12,0.7284011916583912,0.4783042394014962,0.4421052631578947,0.1805416248746238,0.4641076769690927,0.47260956175298796,0.3898305084745763,0.1203381402287419,0.5166583789159622,0.5584868093578895,0.1624493927125506,0.6155378486055777,0.1520794537554314,0.4603491271820449,0.3269513991163476,0.5473107569721115,-0.1143451143451143,-0.4448377581120944,0.2695829094608342,-0.7127659574468085,0.375,2014.0,5.0,0.641012909632572,0.6889419426410546,0.0,0.0278053624627606,0.2293942403177755,0.4771598808341609,0.0014895729890764,0.3212512413108242,24.0,0.27259185700099303,0.3887785501489573,0.1777557100297914,0.160377358490566,0.7999006951340616,0.0734856007944389,0.061072492552135,0.0436941410129096,0.0218470705064548,0.0327706057596822,0.0744786494538232,0.8927507447864945,0.1375372393247269,0.3932472691161867,1.0,330.0,24.899702085402183,26.15768359846837,180.0,5.83,7.0510405780473855,0.7944389275074478,15.0,16.23,1930.1,198.0615342960289,176.95638032742337,1080.0,133.0,4491.0,1055.9351851851852,627.5422597181207,-20.0,323.0,-0.0861111111111111,22.58919077802875,0.8574074074074074,0.8222222222222222,22.0,232.0,105.24074074074076,30.80407468273788,0.3990740740740741,20.0,79.180887372,60.250073052936116,9.774280730692187,0.2,0.1972222222222222,0.0833333333333333,0.1,0.0796296296296296,0.0379629629629629,0.0675925925925925,0.0324074074074074,0.0324074074074074,0.0407407407407407,0.0259259259259259,0.0148148148148148,0.0212962962962962,0.0175925925925925,0.0185185185185185,0.0074074074074074,0.0064814814814814,0.012037037037036999,0.1592592592592592,0.0805555555555555,0.0722222222222222,0.0361111111111111,0.0527777777777777,0.037037037037037,0.0342592592592592,0.025,0.0287037037037037,0.0185185185185185,0.3037037037037037,0.0648148148148148,0.0712962962962963,0.062037037037037016,0.049074074074074,0.0361111111111111,0.0314814814814814,0.0277777777777777,0.0222222222222222,0.0222222222222222
